date,1. open,2. high,3. low,4. close,5. volume
2024-06-12 19:59:00,506.5,507.095,506.5,507.095,141.0
2024-06-12 19:58:00,506.42,506.79,506.1,506.79,108.0
2024-06-12 19:57:00,507.44,507.44,506.43,506.46,63.0
2024-06-12 19:56:00,506.685,506.92,506.16,506.62,312.0
2024-06-12 19:55:00,506.575,507.02,506.13,506.95,180.0
2024-06-12 19:54:00,506.665,507.12,506.61,506.89,152.0
2024-06-12 19:53:00,506.92,507.47,506.1,507.1,731.0
2024-06-12 19:52:00,506.72,506.94,506.6,506.74,104.0
2024-06-12 19:51:00,506.485,507.32,506.45,507.32,122.0
2024-06-12 19:50:00,506.745,507.33,506.27,506.35,160.0
2024-06-12 19:49:00,506.86,507.12,506.23,506.23,594.0
2024-06-12 19:48:00,506.92,506.92,506.4,506.7,109.0
2024-06-12 19:47:00,506.9,507.12,506.375,506.375,228.0
2024-06-12 19:46:00,506.925,507.12,506.9,506.9,20.0
2024-06-12 19:45:00,506.88,507.0,506.85,506.9,119.0
2024-06-12 19:44:00,507.0,507.0,506.7,506.7,84.0
2024-06-12 19:43:00,506.85,506.85,506.7,506.7,263.0
2024-06-12 19:42:00,507.0,507.0,506.7,506.7,144.0
2024-06-12 19:41:00,506.75,506.85,506.7,506.707,20.0
2024-06-12 19:40:00,506.77,507.0,506.75,506.75,114.0
2024-06-12 19:39:00,506.8,506.9,506.7,506.875,254.0
2024-06-12 19:38:00,506.91,507.0,506.75,506.8,61.0
2024-06-12 19:37:00,506.72,507.15,506.72,506.74,202.0
2024-06-12 19:36:00,506.52,506.62,506.42,506.62,4.0
2024-06-12 19:35:00,506.83,507.28,505.639,505.639,261.0
2024-06-12 19:34:00,506.64,506.985,506.64,506.83,42.0
2024-06-12 19:33:00,506.975,506.985,506.63,506.985,31.0
2024-06-12 19:32:00,506.975,506.975,506.62,506.975,57.0
2024-06-12 19:31:00,507.33,507.33,506.52,506.62,17.0
2024-06-12 19:30:00,507.33,507.33,506.04,506.52,91.0
2024-06-12 19:29:00,506.02,506.75,505.83,506.68,877.0
2024-06-12 19:28:00,506.7,506.7,505.9,506.15,216.0
2024-06-12 19:27:00,505.95,506.265,505.83,505.83,22.0
2024-06-12 19:26:00,505.95,506.22,505.9,505.95,148.0
2024-06-12 19:25:00,506.7,506.7,505.908,505.907,54.0
2024-06-12 19:24:00,505.98,506.69,505.74,506.0,65.0
2024-06-12 19:23:00,505.98,506.69,505.74,505.74,21.0
2024-06-12 19:22:00,505.82,506.6,505.7,506.2,116.0
2024-06-12 19:21:00,505.83,506.035,505.37,505.37,192.0
2024-06-12 19:20:00,505.82,506.035,505.37,505.92,183.0
2024-06-12 19:19:00,505.61,507.0,505.61,506.7,83.0
2024-06-12 19:18:00,507.0,507.0,505.53,505.53,53.0
2024-06-12 19:17:00,506.98,506.98,505.37,505.43,197.0
2024-06-12 19:16:00,505.57,506.99,505.57,506.22,20.0
2024-06-12 19:15:00,506.15,506.99,505.93,506.15,9.0
2024-06-12 19:14:00,505.52,506.15,505.52,506.15,102.0
2024-06-12 19:13:00,505.65,505.65,505.3,505.5,45.0
2024-06-12 19:12:00,505.344,505.64,505.3,505.64,16.0
2024-06-12 19:11:00,505.28,506.305,505.28,505.43,82.0
2024-06-12 19:10:00,506.255,507.31,505.35,507.31,331.0
2024-06-12 19:09:00,506.25,506.8,505.55,505.69,86.0
2024-06-12 19:08:00,506.9,507.1,505.55,505.62,55.0
2024-06-12 19:07:00,505.72,506.9,505.35,506.09,223.0
2024-06-12 19:06:00,506.15,506.31,505.35,506.1,425.0
2024-06-12 19:05:00,505.82,506.395,505.52,505.55,330.0
2024-06-12 19:04:00,506.02,506.11,505.56,505.63,130.0
2024-06-12 19:03:00,506.21,506.445,505.55,506.445,99.0
2024-06-12 19:02:00,507.33,507.33,506.21,506.77,98.0
2024-06-12 19:01:00,506.37,507.24,505.85,506.238,98.0
2024-06-12 19:00:00,506.61,506.61,506.0,506.275,72.0
2024-06-12 18:59:00,506.12,507.2,506.02,506.61,25.0
2024-06-12 18:58:00,506.0,506.115,505.886,506.02,362.0
2024-06-12 18:57:00,505.64,506.0,505.64,506.0,275.0
2024-06-12 18:56:00,506.63,506.63,505.982,506.0,619.0
2024-06-12 18:55:00,506.89,507.145,506.33,506.33,1009.0
2024-06-12 18:54:00,506.75,506.89,506.75,506.89,193.0
2024-06-12 18:53:00,506.635,506.88,506.38,506.81,153.0
2024-06-12 18:52:00,506.8,506.85,506.635,506.635,168.0
2024-06-12 18:51:00,506.7,506.8,506.55,506.8,117.0
2024-06-12 18:50:00,506.7,506.8,506.38,506.8,70.0
2024-06-12 18:49:00,506.71,506.8,506.59,506.59,15.0
2024-06-12 18:48:00,506.62,506.75,506.59,506.59,161.0
2024-06-12 18:47:00,506.53,506.8,506.43,506.59,89.0
2024-06-12 18:46:00,506.38,506.8,506.38,506.38,100.0
2024-06-12 18:45:00,506.5,506.8,506.5,506.52,300.0
2024-06-12 18:44:00,506.566,506.566,506.38,506.38,14.0
2024-06-12 18:43:00,506.54,506.7,506.39,506.39,158.0
2024-06-12 18:42:00,506.59,506.7,506.38,506.7,118.0
2024-06-12 18:41:00,506.697,506.7,506.4,506.407,130.0
2024-06-12 18:40:00,506.65,506.7,506.4,506.69,254.0
2024-06-12 18:39:00,506.65,506.8,506.5,506.65,30.0
2024-06-12 18:38:00,506.7,506.8,506.7,506.7,1029.0
2024-06-12 18:37:00,506.65,506.85,506.625,506.7,67.0
2024-06-12 18:36:00,506.65,506.85,506.5,506.85,385.0
2024-06-12 18:35:00,506.8,506.8,506.5,506.53,96.0
2024-06-12 18:34:00,506.525,506.525,506.32,506.5,132.0
