date,1. open,2. high,3. low,4. close,5. volume
2024-06-12 19:59:00,176.7,176.89,176.7,176.8,127.0
2024-06-12 19:58:00,176.71,176.89,176.7,176.89,134.0
2024-06-12 19:57:00,176.72,176.89,176.7,176.7,91.0
2024-06-12 19:56:00,176.72,176.78,176.71,176.72,889.0
2024-06-12 19:55:00,176.7,176.8,176.7,176.72,1594.0
2024-06-12 19:54:00,176.81,176.89,176.75,176.75,119.0
2024-06-12 19:53:00,176.77,176.77,176.77,176.77,4.0
2024-06-12 19:52:00,176.7,176.7,176.7,176.7,346.0
2024-06-12 19:51:00,176.76,176.894,176.63,176.7,1452.0
2024-06-12 19:50:00,176.81,176.81,176.75,176.75,931.0
2024-06-12 19:49:00,176.81,176.95,176.81,176.81,390.0
2024-06-12 19:48:00,176.89,176.9,176.81,176.89,1610.0
2024-06-12 19:47:00,176.89,176.89,176.89,176.89,801.0
2024-06-12 19:46:00,176.9,176.975,176.9,176.9,27.0
2024-06-12 19:45:00,176.85,176.91,176.76,176.76,214.0
2024-06-12 19:44:00,176.75,176.98,176.75,176.85,55.0
2024-06-12 19:43:00,176.86,176.94,176.75,176.76,359.0
2024-06-12 19:42:00,176.842,177.02,176.842,176.86,47.0
2024-06-12 19:41:00,177.02,177.02,177.02,177.02,2.0
2024-06-12 19:40:00,176.85,177.02,176.82,177.02,324.0
2024-06-12 19:39:00,176.76,176.94,176.76,176.94,266.0
2024-06-12 19:38:00,176.81,176.81,176.76,176.77,50.0
2024-06-12 19:37:00,176.75,177.02,176.75,176.94,282.0
2024-06-12 19:36:00,176.75,176.751,176.75,176.75,25.0
2024-06-12 19:35:00,176.76,177.02,176.75,176.75,201.0
2024-06-12 19:34:00,176.79,176.79,176.79,176.79,5.0
2024-06-12 19:33:00,176.79,176.79,176.79,176.79,95.0
2024-06-12 19:32:00,176.94,176.95,176.79,176.79,13.0
2024-06-12 19:31:00,176.83,176.83,176.75,176.75,244.0
2024-06-12 19:29:00,176.9,176.98,176.8,176.8,89.0
2024-06-12 19:28:00,176.76,177.02,176.75,176.83,251.0
2024-06-12 19:27:00,177.15,177.15,177.15,177.15,2.0
2024-06-12 19:26:00,176.86,176.86,176.86,176.86,3.0
2024-06-12 19:25:00,176.73,177.15,176.73,177.15,75.0
2024-06-12 19:24:00,176.7,176.89,176.7,176.7,376.0
2024-06-12 19:23:00,176.89,176.89,176.89,176.89,10.0
2024-06-12 19:22:00,176.73,176.73,176.7,176.7,16.0
2024-06-12 19:21:00,176.75,176.75,176.72,176.75,240.0
2024-06-12 19:20:00,176.95,177.15,176.95,177.15,405.0
2024-06-12 19:19:00,176.85,176.9,176.85,176.9,30.0
2024-06-12 19:18:00,176.96,176.96,176.85,176.9,20.0
2024-06-12 19:17:00,176.9,176.9,176.73,176.9,400.0
2024-06-12 19:16:00,176.79,176.79,176.76,176.76,45.0
2024-06-12 19:15:00,176.75,176.75,176.75,176.75,10.0
2024-06-12 19:14:00,176.9,176.9,176.9,176.9,1.0
